source_dataset,source_dataset_id,program_year,program_type,ce_id,ce_name,county,region,claim_date,total_meals,reimbursement_amount,reimbursement_per_meal,data_quality_flags
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00090,NORTHSIDE ISD-SAN ANTONIO,BEXAR,4,2019-08-01T00:00:00.000,2588,6569.8,2.5385625965996907,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00091,JUDSON ISD,BEXAR,4,2019-06-01T00:00:00.000,34540,102271.85,2.96096844238564,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00091,JUDSON ISD,BEXAR,4,2019-07-01T00:00:00.000,2918,8909.1,3.053152844413982,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00092,SOUTHSIDE ISD,BEXAR,4,2019-06-01T00:00:00.000,6067,17717.13,2.920245590901599,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00092,SOUTHSIDE ISD,BEXAR,4,2019-07-01T00:00:00.000,600,1730.8,2.8846666666666665,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00094,BLANCO ISD,BLANCO,4,2019-06-01T00:00:00.000,279,777.06,2.7851612903225806,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00096,CLIFTON ISD,BOSQUE,2,2019-06-01T00:00:00.000,358,997.37,2.785949720670391,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00097,MERIDIAN ISD,BOSQUE,2,2019-06-01T00:00:00.000,1143,3586.02,3.1373753280839893,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00097,MERIDIAN ISD,BOSQUE,2,2019-07-01T00:00:00.000,325,1118.0,3.44,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00099,VALLEY MILLS ISD,BOSQUE,2,2019-06-01T00:00:00.000,516,1491.74,2.890968992248062,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00104,HOOKS ISD,BOWIE,2,2019-06-01T00:00:00.000,1729,4900.06,2.8340427993059576,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00104,HOOKS ISD,BOWIE,2,2019-07-01T00:00:00.000,514,1471.4,2.862645914396887,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00106,TEXARKANA ISD,BOWIE,2,2019-06-01T00:00:00.000,22217,63252.58,2.8470351532610163,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00106,TEXARKANA ISD,BOWIE,2,2019-07-01T00:00:00.000,7646,22197.88,2.9032016740779496,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00106,TEXARKANA ISD,BOWIE,2,2019-08-01T00:00:00.000,60,171.0,2.85,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00107,LIBERTY-EYLAU ISD,BOWIE,2,2019-06-01T00:00:00.000,6195,18096.05,2.9210734463276835,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00107,LIBERTY-EYLAU ISD,BOWIE,2,2019-07-01T00:00:00.000,4257,12629.7,2.9668076109936576,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00107,LIBERTY-EYLAU ISD,BOWIE,2,2019-08-01T00:00:00.000,660,1881.0,2.85,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00112,ALVIN ISD,BRAZORIA,3,2019-06-01T00:00:00.000,27592,81014.38,2.9361546825166718,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00112,ALVIN ISD,BRAZORIA,3,2019-07-01T00:00:00.000,3596,10663.3,2.9653225806451613,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00112,ALVIN ISD,BRAZORIA,3,2019-08-01T00:00:00.000,150,448.3,2.9886666666666666,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00113,ANGLETON ISD,BRAZORIA,3,2019-06-01T00:00:00.000,12325,37050.5,3.006125760649087,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00113,ANGLETON ISD,BRAZORIA,3,2019-07-01T00:00:00.000,5728,19076.9,3.3304643854748606,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00113,ANGLETON ISD,BRAZORIA,3,2019-08-01T00:00:00.000,291,1018.5,3.5,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00115,BRAZOSPORT ISD,BRAZORIA,3,2019-06-01T00:00:00.000,18952,55717.28,2.9399155761924862,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00115,BRAZOSPORT ISD,BRAZORIA,3,2019-07-01T00:00:00.000,4543,13505.9,2.972903367818622,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00116,SWEENY ISD,BRAZORIA,3,2019-06-01T00:00:00.000,1845,5207.05,2.8222493224932252,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00116,SWEENY ISD,BRAZORIA,3,2019-07-01T00:00:00.000,2068,6974.1,3.3723887814313347,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00117,COLUMBIA-BRAZORIA ISD,BRAZORIA,3,2019-06-01T00:00:00.000,2952,8469.78,2.869166666666667,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00117,COLUMBIA-BRAZORIA ISD,BRAZORIA,3,2019-07-01T00:00:00.000,339,1001.9,2.955457227138643,ok
