source_dataset_id,source_label,ce_id,site_id,program_year,meal_service_type_public,rural_urban_status,sfsp_site_type_public,meal_types_served,breakfast_time,lunch_time,supper_time,am_snack_time,pm_snack_time,breakfast_meal_service_method,lunch_meal_service_method,supper_meal_service_method,am_snack_meal_service_method,pm_snack_meal_service_method,non_congregate_status_verified,non_congregate_source,rural_urban_source
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01525,1707,2023,Congregate,Urban,Open,Lunch,,13:00 - 15:00,,,,,Vended by Food Service Management Company (FSMC),,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01525,1915,2023,Congregate,Urban,Open,"Breakfast, Lunch",9:00 - 10:00,11:00 - 13:00,,,,Vended by Food Service Management Company (FSMC),Vended by Food Service Management Company (FSMC),,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01525,1920,2023,Congregate,Urban,Open,"Breakfast, Lunch",9:00 - 10:00,11:00 - 13:00,,,,Vended by Food Service Management Company (FSMC),Vended by Food Service Management Company (FSMC),,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01525,1926,2023,Congregate,Urban,Open,"Breakfast, Lunch",9:00 - 10:00,11:00 - 13:00,,,,Vended by Food Service Management Company (FSMC),Vended by Food Service Management Company (FSMC),,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01525,1927,2023,Congregate,Urban,Open,"Breakfast, Lunch",9:00 - 10:00,11:00 - 13:00,,,,Vended by Food Service Management Company (FSMC),Vended by Food Service Management Company (FSMC),,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01525,1936,2023,Congregate,Urban,Open,"Breakfast, Lunch",9:00 - 10:00,11:00 - 13:00,,,,Vended by Food Service Management Company (FSMC),Vended by Food Service Management Company (FSMC),,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01525,1941,2023,Congregate,Urban,Open,"Breakfast, Lunch",9:00 - 10:00,11:00 - 13:00,,,,Vended by Food Service Management Company (FSMC),Vended by Food Service Management Company (FSMC),,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01525,1951,2023,Congregate,Urban,Open,"Breakfast, Lunch",9:00 - 10:00,11:00 - 13:00,,,,Vended by Food Service Management Company (FSMC),Vended by Food Service Management Company (FSMC),,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01525,2032,2023,Congregate,Urban,Open,"Breakfast, Lunch",11:00 - 12:00,13:00 - 15:00,,,,Vended by Food Service Management Company (FSMC),Vended by Food Service Management Company (FSMC),,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01525,2230,2023,Congregate,Urban,Open,"Breakfast, Lunch",9:00 - 10:00,11:00 - 13:00,,,,Vended by Food Service Management Company (FSMC),Vended by Food Service Management Company (FSMC),,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
