programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,countydistrictcode,cecounty,sitecount,covidmealsitecount,regularmealsitecount,claimdate,breakfastmealsreimbursed,amsnackmealsreimbursed,lunchmealsreimbursed,pmsnackmealsreimbursed,suppermealsreimbursed,breakfastreimbursement,amsnackreimbursement,lunchreimbursement,pmsnackreimbursement,supperreimbursement,adminreimbursement,totalreimbursement
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00122,COLLEGE STATION ISD,Educational Institution,School Food Authority,6,3,021-901,BRAZOS,23,4,19,2021-04-01T00:00:00.000,54080,0,158177,0,0,121139.2000,0.0000,618472.0700,0.0000,0.0000,76489.9300,816101.2000
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00122,COLLEGE STATION ISD,Educational Institution,School Food Authority,6,3,021-901,BRAZOS,23,4,19,2021-05-01T00:00:00.000,48152,0,137957,0,0,107860.4800,0.0000,539411.8700,0.0000,0.0000,66931.3000,714203.6500
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00122,COLLEGE STATION ISD,Educational Institution,School Food Authority,6,3,021-901,BRAZOS,8,2,6,2021-06-01T00:00:00.000,10534,0,13103,0,0,23596.1600,0.0000,51232.7300,0.0000,0.0000,7683.2900,82512.1800
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00122,COLLEGE STATION ISD,Educational Institution,School Food Authority,6,3,021-901,BRAZOS,2,2,0,2021-07-01T00:00:00.000,3774,0,4765,0,0,8453.7600,0.0000,18631.1500,0.0000,0.0000,2781.4600,29866.3700
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00123,BRYAN ISD,Educational Institution,School Food Authority,6,3,021-902,BRAZOS,28,5,23,2020-11-01T00:00:00.000,80761,0,131878,0,0,174443.7600,0.0000,495861.2800,0.0000,0.0000,69125.7400,739430.7800
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00123,BRYAN ISD,Educational Institution,School Food Authority,6,3,021-902,BRAZOS,27,4,23,2020-12-01T00:00:00.000,70209,0,115257,0,0,151651.4400,0.0000,433366.3200,0.0000,0.0000,60333.3100,645351.0700
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00123,BRYAN ISD,Educational Institution,School Food Authority,6,3,021-902,BRAZOS,26,3,23,2021-01-01T00:00:00.000,80330,0,140497,0,0,179939.2000,0.0000,549343.2700,0.0000,0.0000,75125.9600,804408.4300
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00123,BRYAN ISD,Educational Institution,School Food Authority,6,3,021-902,BRAZOS,25,2,23,2021-02-01T00:00:00.000,76400,0,129391,0,0,171136.0000,0.0000,505918.8100,0.0000,0.0000,69725.8300,746780.6400
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00123,BRYAN ISD,Educational Institution,School Food Authority,6,3,021-902,BRAZOS,23,0,23,2021-03-01T00:00:00.000,94613,0,161656,0,0,211933.1200,0.0000,632074.9600,0.0000,0.0000,86926.2100,930934.2900
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00123,BRYAN ISD,Educational Institution,School Food Authority,6,3,021-902,BRAZOS,23,0,23,2021-04-01T00:00:00.000,108669,0,185035,0,0,243418.5600,0.0000,723486.8500,0.0000,0.0000,99580.6100,1066486.0200
