odprecid,programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,countydistrictcode,cecounty,sitecount,covidmealsitecount,regularmealsitecount,claimdate,breakfastmealsreimbursed,amsnackmealsreimbursed,lunchmealsreimbursed,pmsnackmealsreimbursed,suppermealsreimbursed,breakfastreimbursement,amsnackreimbursement,lunchreimbursement,pmsnackreimbursement,supperreimbursement,adminreimbursement,totalreimbursement
01518_7_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,01518,"THE BOYS AND GIRLS CLUBS OF VERNON, INC",Private Non Profit Organization,Private Nonprofit,9,2,244-,WILBARGER,2,0,2,2023-07-01T00:00:00.000,1022,0,2933,0,0,2626.5400,0.0000,13139.8400,0.0000,0.0000,1639.1200,17405.5000
01524_7_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,01524,Shackelford County Community Resource Center,Private Non Profit Organization,Private Nonprofit,14,1,209-,SHACKELFORD,1,0,1,2023-07-01T00:00:00.000,0,1087,1088,0,0,0.0000,1130.4800,4874.2400,0.0000,0.0000,649.9500,6654.6700
01525_7_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,01525,CITY OF HOUSTON,Government Agency,Unit of Government,4,3,101-,HARRIS,73,0,73,2023-07-01T00:00:00.000,17249,0,22069,0,0,44329.9300,0.0000,98869.1200,0.0000,0.0000,12099.8300,155298.8800
01525_8_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,01525,CITY OF HOUSTON,Government Agency,Unit of Government,4,3,101-,HARRIS,67,0,67,2023-08-01T00:00:00.000,6304,0,9802,0,0,16201.2800,0.0000,43912.9600,0.0000,0.0000,5099.3400,65213.5800
01530_6_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,01530,SAN ANTONIO FOOD BANK,Private Non Profit Organization,Private Nonprofit,20,4,015-,BEXAR,91,0,91,2023-06-01T00:00:00.000,5158,0,24522,17516,0,13256.0600,0.0000,109858.5600,18216.6400,0.0000,15073.9200,156405.1800
01530_7_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,01530,SAN ANTONIO FOOD BANK,Private Non Profit Organization,Private Nonprofit,20,4,015-,BEXAR,121,0,121,2023-07-01T00:00:00.000,7184,0,55159,39566,0,18462.8800,0.0000,247112.3200,41148.6400,0.0000,32801.3200,339525.1600
01530_8_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,01530,SAN ANTONIO FOOD BANK,Private Non Profit Organization,Private Nonprofit,20,4,015-,BEXAR,89,0,89,2023-08-01T00:00:00.000,1686,0,11340,6122,0,4333.0200,0.0000,50803.2000,6366.8800,0.0000,6540.2900,68043.3900
01531_6_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,01531,TEXAS A&M UNIVERSITY CORPUS CHRISTI,Government Agency,Unit of Government,2,5,178-,NUECES,1,0,1,2023-06-01T00:00:00.000,0,0,2176,0,0,0.0000,0.0000,9748.4800,0.0000,0.0000,848.6400,10597.1200
01534_6_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,01534,THE HOUSTON FOOD BANK,Private Non Profit Organization,Private Nonprofit,4,3,101-,GALVESTON,192,0,192,2023-06-01T00:00:00.000,23955,4297,96205,61519,0,61564.3500,4468.8800,430998.4000,63979.7600,0.0000,59716.4200,620727.8100
01534_7_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,01534,THE HOUSTON FOOD BANK,Private Non Profit Organization,Private Nonprofit,4,3,101-,GALVESTON,191,0,191,2023-07-01T00:00:00.000,18262,4166,94133,68302,0,46933.3400,4332.6400,421715.8400,71034.0800,0.0000,58139.0000,602154.9000
01534_8_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,01534,THE HOUSTON FOOD BANK,Private Non Profit Organization,Private Nonprofit,4,3,101-,GALVESTON,104,0,104,2023-08-01T00:00:00.000,2327,899,17367,14966,0,5980.3900,934.9600,77804.1600,15564.6400,0.0000,10778.6700,111062.8200
