programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,countydistrictcode,cecounty,sitecount,covidmealsitecount,regularmealsitecount,claimdate,breakfastmealsreimbursed,amsnackmealsreimbursed,lunchmealsreimbursed,pmsnackmealsreimbursed,suppermealsreimbursed,breakfastreimbursement,amsnackreimbursement,lunchreimbursement,pmsnackreimbursement,supperreimbursement,totalreimbursement
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00963,SHEPHERD ISD,Educational Institution,Public,6,3,204-904,SAN JACINTO,8,4,4,2020-11-01T00:00:00.000,22724,0,24177,0,0,51356.2400,0.0000,87037.2000,0.0000,0.0000,138393.4400
2020-2021,SUMMERSSOCEREIMBURSEMENTS,01048,HARTS BLUFF ISD,Educational Institution,Public,8,2,225-907,TITUS,1,0,1,2021-07-01T00:00:00.000,180,0,180,0,0,443.2500,0.0000,777.1500,0.0000,0.0000,1220.4000
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00667,JOSHUA ISD,Educational Institution,Public,11,2,126-905,JOHNSON,1,0,1,2021-07-01T00:00:00.000,0,63,65,0,0,0.0000,64.2600,280.6300,0.0000,0.0000,344.8900
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00733,DAYTON ISD,Educational Institution,Public,4,3,146-902,LIBERTY,7,0,7,2021-09-01T00:00:00.000,48497,0,86181,0,0,119423.8600,0.0000,372086.4600,0.0000,0.0000,491510.3200
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00746,GEORGE WEST ISD,Educational Institution,Public,2,5,149-901,LIVE OAK,4,0,4,2021-08-01T00:00:00.000,3949,0,7445,0,0,9724.4100,0.0000,32143.7800,0.0000,0.0000,41868.1900
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00754,LUBBOCK-COOPER ISD,Educational Institution,Public,17,1,152-906,LUBBOCK,11,3,8,2021-04-01T00:00:00.000,25898,0,75085,0,0,58529.4800,0.0000,268804.3000,0.0000,0.0000,327333.7800
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00762,WILSON ISD,Educational Institution,Public,17,1,153-907,LYNN,1,0,1,2021-08-01T00:00:00.000,521,0,584,0,0,1282.9600,0.0000,2521.4200,0.0000,0.0000,3804.3800
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00823,NOCONA ISD,Educational Institution,Public,9,2,169-902,MONTAGUE,4,1,3,2021-02-01T00:00:00.000,5206,0,5293,0,0,11765.5600,0.0000,19054.8000,0.0000,0.0000,30820.3600
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00243,TEXLINE ISD,Educational Institution,Public,16,1,056-902,DALLAM,1,0,1,2021-05-01T00:00:00.000,931,0,1458,0,0,2104.0600,0.0000,5248.8000,0.0000,0.0000,7352.8600
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00261,"A PLUS CHARTER SCHOOLS, INC. DBA INSPIRED VISION ACADEMY",Educational Institution,Charter,10,2,057-830,DALLAS,2,2,0,2020-11-01T00:00:00.000,9930,0,9886,0,0,18767.7000,0.0000,35589.6000,0.0000,0.0000,54357.3000
