programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,cecounty,sitecount,covidmealsitecount,regularmealsitecount,claimdate,breakfastmealsreimbursed,amsnackmealsreimbursed,lunchmealsreimbursed,pmsnackmealsreimbursed,suppermealsreimbursed,breakfastreimbursement,amsnackreimbursement,lunchreimbursement,pmsnackreimbursement,supperreimbursement,adminreimbursement,totalreimbursement,countydistrictcode
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,00884,WEST ORANGE-COVE CONS ISD,Educational Institution,School Food Authority,5,3,ORANGE,10,0,10,2022-06-01T00:00:00.000,2489,0,4325,182,182,5898.93,0.0,17862.25,174.72,751.66,2555.59,27243.15,181-906
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,04493,THE JOSH HOWARD FOUNDATION,Private Non Profit Organization,Private Nonprofit,10,2,DALLAS,12,0,12,2022-06-01T00:00:00.000,1494,2889,5212,0,0,3540.78,2773.44,21525.56,0.0,0.0,2944.74,30784.52,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,00933,PECOS-BARSTOW-TOYAH ISD,Educational Institution,School Food Authority,18,1,REEVES,3,0,3,2022-05-01T00:00:00.000,278,0,472,0,0,658.86,0.0,1949.36,0.0,0.0,269.47,2877.69,195-901
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,03627,Food & Nutrition Solutions Inc.,Private Non Profit Organization,Private Nonprofit,7,3,ANGELINA,3,0,3,2022-05-01T00:00:00.000,167,0,214,0,0,395.79,0.0,883.82,0.0,0.0,131.81,1411.42,003-
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,00529,SPRING BRANCH ISD,Educational Institution,School Food Authority,4,3,HARRIS,20,0,20,2022-06-01T00:00:00.000,30946,0,57181,0,0,73342.02,0.0,236157.53,0.0,0.0,32003.09,341502.64,101-920
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,04080,"Village Hands and Hearts, Inc.",Private Non Profit Organization,Private Nonprofit,10,2,DALLAS,5,0,5,2022-08-01T00:00:00.000,682,0,893,0,0,1616.34,0.0,3688.09,0.0,0.0,546.49,5850.92,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,00521,GOOSE CREEK CISD,Educational Institution,School Food Authority,4,3,HARRIS,31,0,31,2022-06-01T00:00:00.000,23222,0,43484,0,0,55036.14,0.0,179588.92,0.0,0.0,24264.0,258889.06,101-911
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,04323,Kids Cove Community Outreach,Private Non Profit Organization,Private Nonprofit,10,2,DALLAS,8,0,8,2022-06-01T00:00:00.000,3326,0,3976,0,0,7882.62,0.0,16420.88,0.0,0.0,2501.23,26804.73,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,00024,PLEASANTON ISD,Educational Institution,School Food Authority,20,4,ATASCOSA,4,0,4,2022-05-01T00:00:00.000,241,0,470,0,41,571.17,0.0,1941.1,0.0,169.33,277.65,2959.25,007-905
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,00333,FERRIS ISD,Educational Institution,School Food Authority,10,2,ELLIS,2,0,2,2022-06-01T00:00:00.000,1688,0,4720,0,0,4000.56,0.0,19493.6,0.0,0.0,2438.08,25932.24,070-905
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,05920,UNIQUE PIECES INC.,Private Non Profit Organization,Private Nonprofit,10,2,DALLAS,12,0,12,2022-06-01T00:00:00.000,3529,0,13713,9543,0,8363.73,0.0,56634.69,9161.28,0.0,7881.49,82041.19,
