programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,countydistrictcode,cecounty,sitecount,regularmealsitecount,claimdate,breakfastmealsreimbursed,amsnackmealsreimbursed,lunchmealsreimbursed,pmsnackmealsreimbursed,suppermealsreimbursed,breakfastreimbursement,amsnackreimbursement,lunchreimbursement,pmsnackreimbursement,supperreimbursement,totalreimbursement
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00282,LANCASTER ISD,Educational Institution,Public,10,2,057-913,DALLAS,9,9,2022-05-01T00:00:00.000,67667,0,91224,0,0,160370.79,0,376755.12,0,0,537125.91
2021-2022,SUMMERSSOCEREIMBURSEMENTS,06578,"Bloom Academy, Inc.",Educational Institution,Charter,4,3,101-875,HARRIS,1,1,2022-07-01T00:00:00.000,164,0,221,0,0,388.68,0,912.73,0,0,1301.41
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00205,WYLIE ISD-WYLIE,Educational Institution,Public,10,2,043-914,COLLIN,20,20,2022-02-01T00:00:00.000,58261,0,166674,0,0,138078.57,0,688363.62,0,0,826442.19
2021-2022,SUMMERSSOCEREIMBURSEMENTS,06760,San Antonio Preparatory Charter School,Educational Institution,Charter,20,4,015-840,BEXAR,1,1,2022-02-01T00:00:00.000,2180,0,3056,0,0,5166.6,0,12621.28,0,0,17787.88
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00051,TROY ISD,Educational Institution,Public,12,2,014-910,BELL,4,4,2022-02-01T00:00:00.000,6772,0,16588,0,0,16049.64,0,68508.44,0,0,84558.08
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00684,KEMP ISD,Educational Institution,Public,10,2,129-904,KAUFMAN,4,4,2021-12-01T00:00:00.000,6651,0,15768,0,0,14898.24,0,61652.88,0,0,76551.12
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00695,JUNCTION ISD,Educational Institution,Public,15,4,134-901,KIMBLE,3,3,2022-04-01T00:00:00.000,5837,0,6444,0,0,13833.69,0,26613.72,0,0,40447.41
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00371,SAVOY ISD,Educational Institution,Public,10,2,074-911,FANNIN,2,2,2021-11-01T00:00:00.000,1609,0,3115,0,0,3604.16,0,12179.65,0,0,15783.81
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00713,SPRINGLAKE-EARTH ISD,Educational Institution,Public,17,1,140-907,LAMB,2,2,2021-12-01T00:00:00.000,3055,0,2941,0,0,6843.2,0,11499.31,0,0,18342.51
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00875,BANQUETE ISD,Educational Institution,Public,2,5,178-913,NUECES,3,3,2022-02-01T00:00:00.000,7679,0,12159,0,0,18199.23,0,50216.67,0,0,68415.9
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00960,SAN AUGUSTINE ISD,Educational Institution,Public,7,3,203-901,SAN AUGUSTINE,2,2,2022-04-01T00:00:00.000,3820,0,7944,0,0,9053.4,0,32808.72,0,0,41862.12
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00693,KERRVILLE ISD,Educational Institution,Public,20,4,133-903,KERR,9,9,2022-02-01T00:00:00.000,21332,0,48195,0,0,50556.84,0,199045.35,0,0,249602.19
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00901,ALEDO ISD,Educational Institution,Public,11,2,184-907,PARKER,10,10,2021-11-01T00:00:00.000,19455,0,67130,0,0,43579.2,0,262478.3,0,0,306057.5
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00874,TULOSO-MIDWAY ISD,Educational Institution,Public,2,5,178-912,NUECES,5,5,2022-01-01T00:00:00.000,17784,0,20787,0,0,42148.08,0,85850.31,0,0,127998.39
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00807,MIDLAND ISD,Educational Institution,Public,18,1,165-901,MIDLAND,40,40,2021-12-01T00:00:00.000,137915,0,183473,0,0,308929.6,0,717379.43,0,0,1026309.03
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00788,RIESEL ISD,Educational Institution,Public,12,2,161-912,MCLENNAN,2,2,2022-05-01T00:00:00.000,3662,0,7640,0,0,8678.94,0,31553.2,0,0,40232.14
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00261,"A PLUS CHARTER SCHOOLS, INC. DBA INSPIRED VISION ACADEMY",Educational Institution,Charter,10,2,057-830,DALLAS,2,2,2022-02-01T00:00:00.000,4483,0,13876,0,0,10624.71,0,57307.88,0,0,67932.59
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00178,RUSK ISD,Educational Institution,Public,7,2,037-907,CHEROKEE,5,5,2021-10-01T00:00:00.000,26301,0,27554,0,0,58914.24,0,107736.14,0,0,166650.38
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00218,GUSTINE ISD,Educational Institution,Public,14,1,047-903,COMANCHE,1,1,2021-11-01T00:00:00.000,2028,0,2107,0,0,4542.72,0,8238.37,0,0,12781.09
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00950,HENDERSON ISD,Educational Institution,Public,7,2,201-902,RUSK,2,2,2022-07-01T00:00:00.000,2284,0,2321,0,0,5413.08,0,9585.73,0,0,14998.81
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00083,SOUTH SAN ANTONIO ISD,Educational Institution,Public,20,4,015-908,BEXAR,16,16,2022-01-01T00:00:00.000,59858,0,84685,0,0,141863.46,0,349749.05,0,0,491612.51
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00418,NIXON-SMILEY CONS ISD,Educational Institution,Public,13,3,089-903,GONZALES,5,5,2022-03-01T00:00:00.000,17953,0,16434,0,0,42548.61,0,67872.42,0,0,110421.03
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00970,TAFT ISD,Educational Institution,Public,2,5,205-907,SAN PATRICIO,3,3,2022-01-01T00:00:00.000,9193,0,10246,0,0,21787.41,0,42315.98,0,0,64103.39
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00957,WEST RUSK ISD,Educational Institution,Public,7,2,201-914,RUSK,4,4,2021-11-01T00:00:00.000,11188,0,11973,0,0,25061.12,0,46814.43,0,0,71875.55
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01053,WALL ISD,Educational Institution,Public,15,4,226-906,TOM GREEN,4,4,2022-01-01T00:00:00.000,5598,0,14500,0,0,13267.26,0,59885,0,0,73152.26
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00646,VALENTINE ISD,Educational Institution,Public,18,1,122-902,JEFF DAVIS,1,1,2022-02-01T00:00:00.000,517,0,0,0,0,1225.29,0,0,0,0,1225.29
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00361,MORGAN MILL ISD,Educational Institution,Public,11,2,072-910,ERATH,1,1,2021-10-01T00:00:00.000,1413,0,1237,0,0,3165.12,0,4836.67,0,0,8001.79
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00902,PEASTER ISD,Educational Institution,Public,11,2,184-908,PARKER,3,0,2022-03-01T00:00:00.000,6300,0,16251,0,0,14931,0,67116.63,0,0,82047.63
2021-2022,SUMMERSSOCEREIMBURSEMENTS,06578,"Bloom Academy, Inc.",Educational Institution,Charter,4,3,101-875,HARRIS,1,1,2022-02-01T00:00:00.000,1861,0,1950,0,0,4410.57,0,8053.5,0,0,12464.07
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00155,POINT ISABEL ISD,Educational Institution,Public,1,5,031-909,CAMERON,4,4,2022-06-01T00:00:00.000,2880,0,5673,0,0,6825.6,0,23429.49,0,0,30255.09
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00419,WAELDER ISD,Educational Institution,Public,13,3,089-905,GONZALES,1,1,2022-02-01T00:00:00.000,3086,0,4088,0,0,7313.82,0,16883.44,0,0,24197.26
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01155,THRALL ISD,Educational Institution,Public,13,4,246-912,WILLIAMSON,3,3,2022-05-01T00:00:00.000,5251,0,8938,0,0,12444.87,0,36913.94,0,0,49358.81
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01186,"EL PASO EDUCATION INITIATIVE, INC. (THE) Vista Del Futuro",Educational Institution,Charter,19,1,071-809,EL PASO,1,0,2022-05-01T00:00:00.000,2485,0,5868,0,0,5889.45,0,24234.84,0,0,30124.29
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00030,MEDINA ISD,Educational Institution,Public,20,4,010-901,BANDERA,1,1,2022-02-01T00:00:00.000,1719,0,2778,0,0,4074.03,0,11473.14,0,0,15547.17
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00332,ENNIS ISD,Educational Institution,Public,10,2,070-903,ELLIS,4,4,2022-07-01T00:00:00.000,2722,0,5470,0,0,6451.14,0,22591.1,0,0,29042.24
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00407,HITCHCOCK ISD,Educational Institution,Public,4,3,084-908,GALVESTON,5,5,2021-12-01T00:00:00.000,10302,0,13906,0,0,23076.48,0,54372.46,0,0,77448.94
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00181,CHILDRESS ISD,Educational Institution,Public,16,1,038-901,CHILDRESS,3,3,2021-10-01T00:00:00.000,7272,0,12083,0,0,16289.28,0,47244.53,0,0,63533.81
2021-2022,SUMMERSSOCEREIMBURSEMENTS,07057,"Prelude Preparatory, Inc.",Educational Institution,Charter,20,4,015-843,BEXAR,1,1,2021-10-01T00:00:00.000,313,0,508,0,0,701.12,0,1986.28,0,0,2687.4
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00614,FORSAN ISD,Educational Institution,Public,18,1,114-904,HOWARD,2,2,2021-12-01T00:00:00.000,2646,0,5527,0,0,5927.04,0,21610.57,0,0,27537.61
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01298,FORT BEND COUNTY,Government Agency,RCCI,4,3,079-,FORT BEND,1,1,2021-10-01T00:00:00.000,1031,0,957,0,0,2309.44,0,3741.87,0,0,6051.31
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00919,RIVER ROAD ISD,Educational Institution,Public,16,1,188-902,POTTER,6,4,2022-04-01T00:00:00.000,9899,0,17805,0,0,23460.63,0,73534.65,0,0,96995.28
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01034,ABILENE ISD,Educational Institution,Public,14,1,221-901,TAYLOR,22,22,2022-03-01T00:00:00.000,78025,0,185738,0,0,184919.25,0,767097.94,0,0,952017.19
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00382,LOCKNEY ISD,Educational Institution,Public,17,1,077-902,FLOYD,3,3,2021-12-01T00:00:00.000,3810,0,2355,0,0,8534.4,0,9208.05,0,0,17742.45
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00455,PETERSBURG ISD,Educational Institution,Public,17,1,095-904,HALE,1,1,2022-06-01T00:00:00.000,0,0,545,0,0,0,0,2250.85,0,0,2250.85
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00747,THREE RIVERS ISD,Educational Institution,Public,2,5,149-902,LIVE OAK,2,2,2021-11-01T00:00:00.000,4716,0,6760,0,0,10563.84,0,26431.6,0,0,36995.44
