programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,countydistrictcode,cecounty,sitecount,regularmealsitecount,claimdate,breakfastmealsreimbursed,amsnackmealsreimbursed,lunchmealsreimbursed,pmsnackmealsreimbursed,suppermealsreimbursed,breakfastreimbursement,amsnackreimbursement,lunchreimbursement,pmsnackreimbursement,supperreimbursement,totalreimbursement
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00986,TEXHOMA ISD,Educational Institution,Public,16,1,211-901,SHERMAN,1,1,2021-11-01T00:00:00.000,676,0,1339,0,0,1514.24,0,5235.49,0,0,6749.73
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00702,KNOX CITY-O'BRIEN ISD,Educational Institution,Public,9,1,138-902,KNOX,1,1,2021-11-01T00:00:00.000,2935,0,2878,0,0,6574.4,0,11252.98,0,0,17827.38
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00602,NORTH HOPKINS ISD,Educational Institution,Public,8,2,112-906,HOPKINS,2,2,2021-11-01T00:00:00.000,3899,0,5208,0,0,8733.76,0,20363.28,0,0,29097.04
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00473,"ARISTOI CLASSICAL ACADEMY, INC.",Educational Institution,Charter,4,3,101-803,HARRIS,3,3,2021-10-01T00:00:00.000,4133,0,10962,0,0,9257.92,0,42861.42,0,0,52119.34
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00805,MENARD ISD,Educational Institution,Public,15,4,164-901,MENARD,2,2,2022-03-01T00:00:00.000,2253,0,2925,0,0,5339.61,0,12080.25,0,0,17419.86
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00606,SULPHUR BLUFF ISD,Educational Institution,Public,8,2,112-910,HOPKINS,1,1,2021-10-01T00:00:00.000,3192,0,3033,0,0,7150.08,0,11859.03,0,0,19009.11
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00347,FABENS ISD,Educational Institution,Public,19,1,071-903,EL PASO,4,4,2022-01-01T00:00:00.000,12900,0,21845,0,0,30573,0,90219.85,0,0,120792.85
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01068,AUSTIN ISD,Educational Institution,Public,13,4,227-901,TRAVIS,115,110,2022-05-01T00:00:00.000,426315,0,768708,0,0,1010366.55,0,3174764.04,0,0,4185130.59
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00915,LEGGETT ISD,Educational Institution,Public,6,3,187-906,POLK,2,2,2022-04-01T00:00:00.000,2446,0,3138,0,0,5797.02,0,12959.94,0,0,18756.96
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00935,AUSTWELL-TIVOLI ISD,Educational Institution,Public,3,5,196-901,REFUGIO,2,2,2021-10-01T00:00:00.000,1704,0,2316,0,0,3816.96,0,9055.56,0,0,12872.52
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01154,TAYLOR ISD,Educational Institution,Public,13,4,246-911,WILLIAMSON,5,5,2022-05-01T00:00:00.000,40847,0,44588,0,0,96807.39,0,184148.44,0,0,280955.83
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01063,UNIVERSITY OF TEXAS AT AUSTIN,Educational Institution,Charter,13,4,227-819,TRAVIS,1,1,2021-12-01T00:00:00.000,975,0,2783,0,0,2184,0,10881.53,0,0,13065.53
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00265,GOLDEN RULE SCHOOLS INC.,Educational Institution,Charter,10,2,057-835,DALLAS,6,6,2022-01-01T00:00:00.000,9543,0,18419,0,0,22616.91,0,76070.47,0,0,98687.38
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00294,FANNINDEL ISD,Educational Institution,Public,8,2,060-914,DELTA,2,2,2022-02-01T00:00:00.000,1095,0,1663,0,0,2595.15,0,6868.19,0,0,9463.34
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00924,RAINS ISD,Educational Institution,Public,7,2,190-903,RAINS,4,4,2021-10-01T00:00:00.000,10567,0,25051,0,0,23670.08,0,97949.41,0,0,121619.49
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01149,GRANGER ISD,Educational Institution,Public,13,4,246-905,WILLIAMSON,1,1,2022-01-01T00:00:00.000,3050,0,6226,0,0,7228.5,0,25713.38,0,0,32941.88
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00391,TEAGUE ISD,Educational Institution,Public,12,2,081-904,FREESTONE,4,4,2021-11-01T00:00:00.000,6568,0,13103,0,0,14712.32,0,51232.73,0,0,65945.05
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00412,SOUTHLAND ISD,Educational Institution,Public,17,1,085-903,GARZA,1,1,2022-04-01T00:00:00.000,1877,0,1745,0,0,4448.49,0,7206.85,0,0,11655.34
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00674,HAWLEY ISD,Educational Institution,Public,14,1,127-904,JONES,3,3,2021-10-01T00:00:00.000,6335,0,9787,0,0,14190.4,0,38267.17,0,0,52457.57
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00999,GLEN ROSE ISD,Educational Institution,Public,11,2,213-901,SOMERVELL,4,4,2022-04-01T00:00:00.000,11660,0,23067,0,0,27634.2,0,95266.71,0,0,122900.91
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00721,VYSEHRAD ISD,Educational Institution,Public,3,3,143-904,LAVACA,1,1,2022-03-01T00:00:00.000,420,0,1462,0,0,995.4,0,6038.06,0,0,7033.46
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00687,SCURRY-ROSSER ISD,Educational Institution,Public,10,2,129-910,KAUFMAN,3,3,2022-03-01T00:00:00.000,4332,0,9941,0,0,10266.84,0,41056.33,0,0,51323.17
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00582,HILLSBORO ISD,Educational Institution,Public,12,2,109-904,HILL,5,5,2022-05-01T00:00:00.000,19012,0,24032,0,0,45058.44,0,99252.16,0,0,144310.6
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00680,FALLS CITY ISD,Educational Institution,Public,20,4,128-904,KARNES,2,2,2022-01-01T00:00:00.000,3419,0,4633,0,0,8103.03,0,19134.29,0,0,27237.32
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00657,JIM HOGG COUNTY ISD,Educational Institution,Public,1,5,124-901,JIM HOGG,3,3,2022-03-01T00:00:00.000,15464,0,16254,0,0,36649.68,0,67129.02,0,0,103778.7
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00470,WEST HARDIN COUNTY CONS I,Educational Institution,Public,5,3,100-908,HARDIN,2,2,2021-11-01T00:00:00.000,3553,0,6633,0,0,7958.72,0,25935.03,0,0,33893.75
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00715,LAMPASAS ISD,Educational Institution,Public,12,2,141-901,LAMPASAS,5,5,2022-05-01T00:00:00.000,12926,0,26493,0,0,30634.62,0,109416.09,0,0,140050.71
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00602,NORTH HOPKINS ISD,Educational Institution,Public,8,2,112-906,HOPKINS,2,2,2022-03-01T00:00:00.000,3735,0,5001,0,0,8851.95,0,20654.13,0,0,29506.08
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00451,MARION ISD,Educational Institution,Public,20,4,094-904,GUADALUPE,4,4,2022-03-01T00:00:00.000,9042,0,16930,0,0,21429.54,0,69920.9,0,0,91350.44
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01659,LEADERSHIP EDUCATION FOUNDATION,Educational Institution,Charter,6,3,021-805,BRAZOS,4,3,2022-03-01T00:00:00.000,3587,0,7266,0,0,8501.19,0,30008.58,0,0,38509.77
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00587,WHITNEY ISD,Educational Institution,Public,12,2,109-911,HILL,4,4,2022-05-01T00:00:00.000,9762,0,19946,0,0,23135.94,0,82376.98,0,0,105512.92
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00316,CLARENDON ISD,Educational Institution,Public,16,1,065-901,DONLEY,3,3,2022-05-01T00:00:00.000,2200,0,4123,0,0,5214,0,17027.99,0,0,22241.99
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00690,JAYTON-GIRARD ISD,Educational Institution,Public,17,1,132-902,KENT,1,0,2022-05-01T00:00:00.000,1259,0,1775,0,0,2983.83,0,7330.75,0,0,10314.58
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00785,MART ISD,Educational Institution,Public,12,2,161-908,MCLENNAN,2,2,2021-10-01T00:00:00.000,6034,0,7515,0,0,13516.16,0,29383.65,0,0,42899.81
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01167,CHICO ISD,Educational Institution,Public,11,2,249-904,WISE,3,3,2022-05-01T00:00:00.000,3717,0,8272,0,0,8809.29,0,34163.36,0,0,42972.65
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01334,FATHER YERMO SCHOOLS,Private Non Profit Organization,Private,19,1,071-,EL PASO,1,1,2022-05-01T00:00:00.000,1181,0,2520,0,0,2798.97,0,10407.6,0,0,13206.57
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00123,BRYAN ISD,Educational Institution,Public,6,3,021-902,BRAZOS,11,11,2022-06-01T00:00:00.000,19904,0,36824,0,0,47172.48,0,152083.12,0,0,199255.6
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01048,HARTS BLUFF ISD,Educational Institution,Public,8,2,225-907,TITUS,1,1,2022-06-01T00:00:00.000,951,0,1286,0,0,2253.87,0,5311.18,0,0,7565.05
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00676,STAMFORD ISD,Educational Institution,Public,14,1,127-906,JONES,3,3,2022-02-01T00:00:00.000,2894,0,4861,0,0,6858.78,0,20075.93,0,0,26934.71
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00180,WELLS ISD,Educational Institution,Public,7,2,037-909,CHEROKEE,1,1,2022-03-01T00:00:00.000,1443,0,2837,0,0,3419.91,0,11716.81,0,0,15136.72
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00803,HONDO ISD,Educational Institution,Public,20,4,163-904,MEDINA,1,1,2022-06-01T00:00:00.000,2338,0,3244,0,0,5541.06,0,13397.72,0,0,18938.78
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00904,GARNER ISD,Educational Institution,Public,11,2,184-911,PARKER,1,1,2021-12-01T00:00:00.000,2758,0,2380,0,0,6177.92,0,9305.8,0,0,15483.72
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00213,WEIMAR ISD,Educational Institution,Public,3,3,045-905,COLORADO,3,3,2022-04-01T00:00:00.000,3869,0,7233,0,0,9169.53,0,29872.29,0,0,39041.82
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00214,NEW BRAUNFELS ISD,Educational Institution,Public,20,4,046-901,COMAL,15,15,2022-03-01T00:00:00.000,37726,0,97654,0,0,89410.62,0,403311.02,0,0,492721.64
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00132,BLANKET ISD,Educational Institution,Public,15,1,025-904,BROWN,1,1,2021-10-01T00:00:00.000,1741,0,2514,0,0,3899.84,0,9829.74,0,0,13729.58
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01165,BOYD ISD,Educational Institution,Public,11,2,249-902,WISE,4,4,2022-01-01T00:00:00.000,6050,0,11808,0,0,14338.5,0,48767.04,0,0,63105.54
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00287,DAWSON ISD-WELCH,Educational Institution,Public,17,1,058-902,DAWSON,1,1,2022-04-01T00:00:00.000,2306,0,2382,0,0,5465.22,0,9837.66,0,0,15302.88
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00601,CUMBY ISD,Educational Institution,Public,8,2,112-905,HOPKINS,2,2,2022-02-01T00:00:00.000,2907,0,4133,0,0,6889.59,0,17069.29,0,0,23958.88
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00831,MONTGOMERY ISD,Educational Institution,Public,6,3,170-903,MONTGOMERY,10,10,2021-10-01T00:00:00.000,46951,0,114448,0,0,105170.24,0,447491.68,0,0,552661.92
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01153,ROUND ROCK ISD,Educational Institution,Public,13,4,246-909,WILLIAMSON,54,54,2022-04-01T00:00:00.000,218509,0,579785,0,0,517866.33,0,2394512.05,0,0,2912378.38
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00947,MILES ISD,Educational Institution,Public,15,1,200-902,RUNNELS,2,2,2022-03-01T00:00:00.000,2938,0,6431,0,0,6963.06,0,26560.03,0,0,33523.09
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00747,THREE RIVERS ISD,Educational Institution,Public,2,5,149-902,LIVE OAK,1,1,2022-06-01T00:00:00.000,1369,0,2074,0,0,3244.53,0,8565.62,0,0,11810.15
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00574,LA JOYA ISD,Educational Institution,Public,1,5,108-912,HIDALGO,38,37,2022-02-01T00:00:00.000,250626,0,333637,0,0,593983.62,0,1377920.81,0,0,1971904.43
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00934,BALMORHEA ISD,Educational Institution,Public,18,1,195-902,REEVES,1,1,2022-05-01T00:00:00.000,1011,0,1286,0,0,2396.07,0,5311.18,0,0,7707.25
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01053,WALL ISD,Educational Institution,Public,15,4,226-906,TOM GREEN,4,4,2022-03-01T00:00:00.000,6201,0,14144,0,0,14696.37,0,58414.72,0,0,73111.09
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00895,GARY ISD,Educational Institution,Public,7,2,183-904,PANOLA,1,1,2022-01-01T00:00:00.000,1984,0,4095,0,0,4702.08,0,16912.35,0,0,21614.43
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00843,GARRISON ISD,Educational Institution,Public,7,3,174-903,NACOGDOCHES,3,3,2021-12-01T00:00:00.000,2906,0,5794,0,0,6509.44,0,22654.54,0,0,29163.98
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00386,FORT BEND ISD,Educational Institution,Public,4,3,079-907,FORT BEND,79,79,2022-05-01T00:00:00.000,252875,0,788943,0,0,599313.75,0,3258334.59,0,0,3857648.34
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00505,MEYERPARK ELEMENTARY,Educational Institution,Charter,4,3,101-855,HARRIS,1,0,2022-04-01T00:00:00.000,3254,0,4617,0,0,7711.98,0,19068.21,0,0,26780.19
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00032,BASTROP ISD,Educational Institution,Public,13,4,011-901,BASTROP,13,13,2022-04-01T00:00:00.000,109278,0,150383,0,0,258988.86,0,621081.79,0,0,880070.65
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01088,HARMONY ISD,Educational Institution,Public,7,2,230-905,UPSHUR,4,4,2021-12-01T00:00:00.000,2370,0,7238,0,0,5308.8,0,28300.58,0,0,33609.38
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01047,CHAPEL HILL ISD-MT. PLEASANT,Educational Institution,Public,8,2,225-906,TITUS,3,3,2022-05-01T00:00:00.000,3438,0,10204,0,0,8148.06,0,42142.52,0,0,50290.58
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00158,SANTA MARIA ISD,Educational Institution,Public,1,5,031-913,CAMERON,4,4,2022-05-01T00:00:00.000,8620,0,9724,0,0,20429.4,0,40160.12,0,0,60589.52
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00657,JIM HOGG COUNTY ISD,Educational Institution,Public,1,5,124-901,JIM HOGG,3,3,2021-10-01T00:00:00.000,18283,0,18934,0,0,40953.92,0,74031.94,0,0,114985.86
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00891,STRAWN ISD,Educational Institution,Public,11,2,182-905,PALO PINTO,1,1,2022-02-01T00:00:00.000,1234,0,1432,0,0,2924.58,0,5914.16,0,0,8838.74
2021-2022,SUMMERSSOCEREIMBURSEMENTS,04199,"AUSTIN ACHIEVE PUBLIC SCHOOLS, INC.",Educational Institution,Charter,13,4,227-825,TRAVIS,4,2,2021-12-01T00:00:00.000,31231,0,28454,0,0,69957.44,0,111255.14,0,0,181212.58
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00851,CORSICANA ISD,Educational Institution,Public,12,2,175-903,NAVARRO,4,4,2022-06-01T00:00:00.000,1883,0,3162,0,0,4462.71,0,13059.06,0,0,17521.77
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00987,STRATFORD ISD,Educational Institution,Public,16,1,211-902,SHERMAN,3,3,2021-12-01T00:00:00.000,2298,0,4011,0,0,5147.52,0,15683.01,0,0,20830.53
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00305,LAKE DALLAS ISD,Educational Institution,Public,11,2,061-912,DENTON,5,2,2022-03-01T00:00:00.000,23190,0,44087,0,0,54960.3,0,182079.31,0,0,237039.61
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00738,TARKINGTON ISD,Educational Institution,Public,4,3,146-907,LIBERTY,4,4,2021-12-01T00:00:00.000,10887,0,17174,0,0,24386.88,0,67150.34,0,0,91537.22
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00496,"YES PREP PUBLIC SCHOOLS, INC.",Educational Institution,Charter,4,3,101-845,HARRIS,16,16,2022-07-01T00:00:00.000,737,0,1487,0,0,1746.69,0,6141.31,0,0,7888
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00133,MAY ISD,Educational Institution,Public,15,1,025-905,BROWN,2,2,2022-02-01T00:00:00.000,941,0,2624,0,0,2230.17,0,10837.12,0,0,13067.29
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01024,LAKE WORTH ISD,Educational Institution,Public,11,2,220-910,TARRANT,6,6,2021-10-01T00:00:00.000,25940,0,52543,0,0,58105.6,0,205443.13,0,0,263548.73
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01285,BROOKHAVEN YOUTH RANCH INC.,Private Non Profit Organization,RCCI,12,2,161-,MCLENNAN,1,1,2022-06-01T00:00:00.000,919,0,913,0,0,2178.03,0,3770.69,0,0,5948.72
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00553,CROSS ROADS ISD,Educational Institution,Public,7,2,107-904,HENDERSON,3,3,2022-02-01T00:00:00.000,3419,0,6453,0,0,8103.03,0,26650.89,0,0,34753.92
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00116,SWEENY ISD,Educational Institution,Public,4,3,020-906,BRAZORIA,3,3,2022-03-01T00:00:00.000,14657,0,24627,0,0,34737.09,0,101709.51,0,0,136446.6
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00482,"VARNETT SCHOOLS, INC. (THE )",Educational Institution,Charter,4,3,101-814,HARRIS,3,3,2021-10-01T00:00:00.000,12078,0,15610,0,0,27054.72,0,61035.1,0,0,88089.82
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00723,EZZELL ISD,Educational Institution,Public,3,3,143-906,LAVACA,1,1,2022-02-01T00:00:00.000,1137,0,1368,0,0,2694.69,0,5649.84,0,0,8344.53
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00785,MART ISD,Educational Institution,Public,12,2,161-908,MCLENNAN,1,1,2022-06-01T00:00:00.000,979,0,912,0,0,2320.23,0,3766.56,0,0,6086.79
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01274,HEALY MURPHY CENTER INC,Private Non Profit Organization,Private,20,4,015-,BEXAR,1,1,2022-06-01T00:00:00.000,19,0,61,0,0,45.03,0,251.93,0,0,296.96
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00525,KLEIN ISD,Educational Institution,Public,4,3,101-915,HARRIS,50,50,2021-10-01T00:00:00.000,222921,0,620494,0,0,499343.04,0,2426131.54,0,0,2925474.58
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00352,TORNILLO ISD,Educational Institution,Public,19,1,071-908,EL PASO,4,4,2021-10-01T00:00:00.000,5640,0,8925,0,0,12633.6,0,34896.75,0,0,47530.35
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00710,AMHERST ISD,Educational Institution,Public,17,1,140-901,LAMB,1,1,2022-04-01T00:00:00.000,1204,0,1724,0,0,2853.48,0,7120.12,0,0,9973.6
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00830,CONROE ISD,Educational Institution,Public,6,3,170-902,MONTGOMERY,63,63,2022-04-01T00:00:00.000,259716,0,705465,0,0,615526.92,0,2913570.45,0,0,3529097.37
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00225,CALLISBURG ISD,Educational Institution,Public,11,2,049-905,COOKE,2,2,2021-12-01T00:00:00.000,4560,0,8390,0,0,10214.4,0,32804.9,0,0,43019.3
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00874,TULOSO-MIDWAY ISD,Educational Institution,Public,2,5,178-912,NUECES,5,5,2021-11-01T00:00:00.000,34099,0,40772,0,0,76381.76,0,159418.52,0,0,235800.28
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00568,MCALLEN ISD,Educational Institution,Public,1,5,108-906,HIDALGO,31,24,2021-12-01T00:00:00.000,187103,0,193762,0,0,419110.72,0,757609.42,0,0,1176720.14
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01168,DECATUR ISD,Educational Institution,Public,11,2,249-905,WISE,6,6,2022-04-01T00:00:00.000,17842,0,46797,0,0,42285.54,0,193271.61,0,0,235557.15
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00049,SALADO ISD,Educational Institution,Public,12,2,014-908,BELL,3,3,2021-12-01T00:00:00.000,5502,0,12402,0,0,12324.48,0,48491.82,0,0,60816.3
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00047,KILLEEN ISD,Educational Institution,Public,12,2,014-906,BELL,51,51,2022-01-01T00:00:00.000,247120,0,473419,0,0,585674.4,0,1955220.47,0,0,2540894.87
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00692,HUNT ISD,Educational Institution,Public,20,4,133-902,KERR,1,1,2022-05-01T00:00:00.000,712,0,2362,0,0,1687.44,0,9755.06,0,0,11442.5
2021-2022,SUMMERSSOCEREIMBURSEMENTS,06922,Village Tech Schools,Educational Institution,Charter,10,2,057-847,DALLAS,1,1,2022-05-01T00:00:00.000,5398,0,8448,0,0,12793.26,0,34890.24,0,0,47683.5
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00230,EVANT ISD,Educational Institution,Public,12,2,050-901,CORYELL,2,2,2022-03-01T00:00:00.000,1292,0,2627,0,0,3062.04,0,10849.51,0,0,13911.55
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00597,GRANBURY ISD,Educational Institution,Public,11,2,111-901,HOOD,9,9,2022-03-01T00:00:00.000,48117,0,82383,0,0,114037.29,0,340241.79,0,0,454279.08
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01114,WALLER ISD,Educational Institution,Public,4,3,237-904,WALLER,8,8,2022-02-01T00:00:00.000,49058,0,92818,0,0,116267.46,0,383338.34,0,0,499605.8
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01108,BLOOMINGTON ISD,Educational Institution,Public,3,3,235-901,VICTORIA,2,2,2022-06-01T00:00:00.000,1086,0,2105,0,0,2573.82,0,8693.65,0,0,11267.47
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01153,ROUND ROCK ISD,Educational Institution,Public,13,4,246-909,WILLIAMSON,54,54,2022-05-01T00:00:00.000,200935,0,526887,0,0,476215.95,0,2176043.31,0,0,2652259.26
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00126,MARATHON ISD,Educational Institution,Public,18,1,022-902,BREWSTER,1,1,2022-01-01T00:00:00.000,786,0,0,0,0,1862.82,0,0,0,0,1862.82
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00972,RICHLAND SPRINGS ISD,Educational Institution,Public,15,2,206-902,SAN SABA,1,1,2022-01-01T00:00:00.000,946,0,1074,0,0,2242.02,0,4435.62,0,0,6677.64
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00330,FAITH FAMILY KIDS,Educational Institution,Charter,10,2,070-801,ELLIS,2,2,2022-02-01T00:00:00.000,11286,0,25198,0,0,26747.82,0,104067.74,0,0,130815.56
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01373,ST ROSE OF LIMA SCHOOL,Private Non Profit Organization,Private,13,4,075-,FAYETTE,1,1,2022-03-01T00:00:00.000,0,0,1994,0,0,0,0,8235.22,0,0,8235.22
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01181,OLNEY ISD,Educational Institution,Public,9,2,252-903,YOUNG,3,3,2022-04-01T00:00:00.000,7559,0,9248,0,0,17914.83,0,38194.24,0,0,56109.07
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00190,ROBERT LEE ISD,Educational Institution,Public,15,4,041-902,COKE,1,1,2021-11-01T00:00:00.000,2204,0,2968,0,0,4936.96,0,11604.88,0,0,16541.84
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00528,SPRING ISD,Educational Institution,Public,4,3,101-919,HARRIS,41,41,2021-11-01T00:00:00.000,256151,0,398492,0,0,573778.24,0,1558103.72,0,0,2131881.96
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00850,BLOOMING GROVE ISD,Educational Institution,Public,12,2,175-902,NAVARRO,3,3,2022-04-01T00:00:00.000,7669,0,10624,0,0,18175.53,0,43877.12,0,0,62052.65
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00717,COTULLA ISD,Educational Institution,Public,20,4,142-901,LA SALLE,4,4,2022-04-01T00:00:00.000,10458,0,17943,0,0,24785.46,0,74104.59,0,0,98890.05
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00759,O'DONNELL ISD,Educational Institution,Public,17,1,153-903,LYNN,1,1,2022-04-01T00:00:00.000,4938,0,3540,0,0,11703.06,0,14620.2,0,0,26323.26
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00554,EUSTACE ISD,Educational Institution,Public,7,2,107-905,HENDERSON,4,4,2022-01-01T00:00:00.000,14022,0,20453,0,0,33232.14,0,84470.89,0,0,117703.03
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00310,YORKTOWN ISD,Educational Institution,Public,3,3,062-904,DEWITT,3,3,2022-01-01T00:00:00.000,3339,0,4671,0,0,7913.43,0,19291.23,0,0,27204.66
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01697,PRESBYTERIAN PAN AMERICAN SCHOOL,Private Non Profit Organization,Private,2,5,137-,KLEBERG,1,1,2021-12-01T00:00:00.000,336,0,546,0,0,752.64,0,2134.86,0,0,2887.5
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01045,MOUNT PLEASANT ISD,Educational Institution,Public,8,2,225-902,TITUS,9,9,2021-11-01T00:00:00.000,30471,0,58138,0,0,68255.04,0,227319.58,0,0,295574.62
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00961,BROADDUS ISD,Educational Institution,Public,7,3,203-902,SAN AUGUSTINE,2,2,2022-01-01T00:00:00.000,5968,0,5988,0,0,14144.16,0,24730.44,0,0,38874.6
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01115,ROYAL ISD,Educational Institution,Public,4,3,237-905,WALLER,4,4,2022-04-01T00:00:00.000,26640,0,38472,0,0,63136.8,0,158889.36,0,0,222026.16
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00644,EVADALE ISD,Educational Institution,Public,5,3,121-906,JASPER,3,3,2021-10-01T00:00:00.000,3531,0,4808,0,0,7909.44,0,18799.28,0,0,26708.72
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00805,MENARD ISD,Educational Institution,Public,15,4,164-901,MENARD,2,2,2021-11-01T00:00:00.000,1849,0,2760,0,0,4141.76,0,10791.6,0,0,14933.36
