odprecid,programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,countydistrictcode,cecounty,sitecount,covidmealsitecount,regularmealsitecount,claimdate,breakfastmealsreimbursed,amsnackmealsreimbursed,lunchmealsreimbursed,pmsnackmealsreimbursed,suppermealsreimbursed,breakfastreimbursement,amsnackreimbursement,lunchreimbursement,pmsnackreimbursement,supperreimbursement,adminreimbursement,totalreimbursement
04119_5_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,04119,J.E.W.E.L. Foundation,Private Non Profit Organization,Private Nonprofit,10,2,,DALLAS,11,0,11,2024-05-01T00:00:00.000,0,0,1005,0,225,0.0,0.0,4743.6,0.0,1062.0,605.77,6411.37
04119_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,04119,J.E.W.E.L. Foundation,Private Non Profit Organization,Private Nonprofit,10,2,,DALLAS,18,0,18,2024-06-01T00:00:00.000,4539,0,11220,0,535,12300.69,0.0,52958.4,0.0,2525.2,7003.52,74787.81
04119_7_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,04119,J.E.W.E.L. Foundation,Private Non Profit Organization,Private Nonprofit,10,2,,DALLAS,20,0,20,2024-07-01T00:00:00.000,6745,0,15058,0,742,18278.95,0.0,71073.76,0.0,3502.24,9585.8,102440.75
04119_8_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,04119,J.E.W.E.L. Foundation,Private Non Profit Organization,Private Nonprofit,10,2,,DALLAS,16,0,16,2024-08-01T00:00:00.000,1309,0,3549,0,0,3547.39,0.0,16751.28,0.0,0.0,2098.04,22396.71
04323_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,04323,Kids Cove Community Outreach,Private Non Profit Organization,Private Nonprofit,10,2,,DALLAS,23,0,23,2024-06-01T00:00:00.000,3607,0,12642,7346,0,9774.97,0.0,59670.24,8080.6,0.0,8182.77,85708.58
04323_7_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,04323,Kids Cove Community Outreach,Private Non Profit Organization,Private Nonprofit,10,2,,DALLAS,21,0,21,2024-07-01T00:00:00.000,5294,0,17528,10581,240,14346.74,0.0,82732.16,11639.1,1132.8,11595.33,121446.13
04323_8_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,04323,Kids Cove Community Outreach,Private Non Profit Organization,Private Nonprofit,10,2,,DALLAS,18,0,18,2024-08-01T00:00:00.000,531,0,4717,3648,0,1439.01,0.0,22264.24,4012.8,0.0,2957.64,30673.69
04405_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,04405,Nutrition Transitions,Private Non Profit Organization,Private Nonprofit,4,3,,DALLAS,19,0,19,2024-06-01T00:00:00.000,7080,0,9910,11775,9617,19186.8,0.0,46775.2,12952.5,45392.24,13100.58,137407.32
04405_7_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,04405,Nutrition Transitions,Private Non Profit Organization,Private Nonprofit,4,3,,DALLAS,19,0,19,2024-07-01T00:00:00.000,7772,0,10926,12760,10358,21062.12,0.0,51570.72,14036.0,48889.76,14283.99,149842.59
04405_8_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,04405,Nutrition Transitions,Private Non Profit Organization,Private Nonprofit,4,3,,DALLAS,20,0,20,2024-08-01T00:00:00.000,2665,0,3809,4723,3952,7222.15,0.0,17978.48,5195.3,18653.44,5172.79,54222.16
04463_5_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,04463,THE FIRST BAPTIST CHURCH OF KAUFMAN,Private Non Profit Organization,Private Nonprofit,10,2,,KAUFMAN,1,0,1,2024-05-01T00:00:00.000,191,0,250,0,0,517.61,0.0,1180.0,0.0,0.0,174.22,1871.83
04463_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,04463,THE FIRST BAPTIST CHURCH OF KAUFMAN,Private Non Profit Organization,Private Nonprofit,10,2,,KAUFMAN,1,0,1,2024-06-01T00:00:00.000,1282,0,1668,0,0,3474.22,0.0,7872.96,0.0,0.0,1164.43,12511.61
04463_7_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,04463,THE FIRST BAPTIST CHURCH OF KAUFMAN,Private Non Profit Organization,Private Nonprofit,10,2,,KAUFMAN,1,0,1,2024-07-01T00:00:00.000,1376,0,1766,0,0,3728.96,0.0,8335.52,0.0,0.0,1237.84,13302.32
04463_8_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,04463,THE FIRST BAPTIST CHURCH OF KAUFMAN,Private Non Profit Organization,Private Nonprofit,10,2,,KAUFMAN,1,0,1,2024-08-01T00:00:00.000,549,0,690,0,0,1487.79,0.0,3256.8,0.0,0.0,486.69,5231.28
04493_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,04493,THE JOSH HOWARD FOUNDATION,Private Non Profit Organization,Private Nonprofit,10,2,,DALLAS,17,0,17,2024-06-01T00:00:00.000,2040,3996,12315,4220,0,5528.4,4395.6,58126.8,4642.0,0.0,7720.0,80412.8
04493_7_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,04493,THE JOSH HOWARD FOUNDATION,Private Non Profit Organization,Private Nonprofit,10,2,,DALLAS,18,0,18,2024-07-01T00:00:00.000,2244,4462,14732,5046,0,6081.24,4908.2,69535.04,5550.6,0.0,9139.36,95214.44
04493_8_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,04493,THE JOSH HOWARD FOUNDATION,Private Non Profit Organization,Private Nonprofit,10,2,,DALLAS,17,0,17,2024-08-01T00:00:00.000,714,1456,4347,1579,0,1934.94,1601.6,20517.84,1736.9,0.0,2741.63,28532.91
04660_5_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,04660,NORA'S WOMEN OF PURPOSE,Private Non Profit Organization,Private Nonprofit,10,2,,DALLAS,28,0,28,2024-05-01T00:00:00.000,2836,0,3104,0,0,7685.56,0.0,14650.88,0.0,0.0,2287.35,24623.79
04660_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,04660,NORA'S WOMEN OF PURPOSE,Private Non Profit Organization,Private Nonprofit,10,2,,DALLAS,29,0,29,2024-06-01T00:00:00.000,19602,0,20660,0,0,53121.42,0.0,97515.2,0.0,0.0,15418.59,166055.21
04660_7_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,04660,NORA'S WOMEN OF PURPOSE,Private Non Profit Organization,Private Nonprofit,10,2,,DALLAS,29,0,29,2024-07-01T00:00:00.000,25267,0,26443,0,0,68473.57,0.0,124810.96,0.0,0.0,19782.1,213066.63
04660_8_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,04660,NORA'S WOMEN OF PURPOSE,Private Non Profit Organization,Private Nonprofit,10,2,,DALLAS,29,0,29,2024-08-01T00:00:00.000,7769,0,8071,0,0,21053.99,0.0,38095.12,0.0,0.0,6053.18,65202.29
04838_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,04838,BOYS AND GIRLS CLUB OF ZAPATA COUNTY,Private Non Profit Organization,Private Nonprofit,1,5,,ZAPATA,1,0,1,2024-06-01T00:00:00.000,0,0,541,738,0,0.0,0.0,2553.52,811.8,0.0,366.07,3731.39
