odprecid,programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,countydistrictcode,cecounty,sitecount,covidmealsitecount,regularmealsitecount,claimdate,breakfastmealsreimbursed,amsnackmealsreimbursed,lunchmealsreimbursed,pmsnackmealsreimbursed,suppermealsreimbursed,breakfastreimbursement,amsnackreimbursement,lunchreimbursement,pmsnackreimbursement,supperreimbursement,adminreimbursement,totalreimbursement
06377_8_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,06377,Britestar Community Center Inc,Private Non Profit Organization,Private Nonprofit,4,3,,HARRIS,22,0,22,2025-08-01T00:00:00.000,0,0,1519,0,0,0.0,0.0,7427.91,0.0,0.0,778.49,8206.4
06458_5_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,06458,Boys & Girls Clubs in Texas,Private Non Profit Organization,Private Nonprofit,13,4,,TRAVIS,4,0,4,2025-05-01T00:00:00.000,511,0,693,75,0,1435.91,0.0,3388.77,85.5,0.0,479.66,5389.84
06458_6_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,06458,Boys & Girls Clubs in Texas,Private Non Profit Organization,Private Nonprofit,13,4,,TRAVIS,31,0,31,2025-06-01T00:00:00.000,11866,0,34313,24236,0,33343.46,0.0,167790.57,27629.04,0.0,21163.89,249926.96
06458_7_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,06458,Boys & Girls Clubs in Texas,Private Non Profit Organization,Private Nonprofit,13,4,,TRAVIS,30,0,30,2025-07-01T00:00:00.000,9209,0,27982,20220,0,25877.29,0.0,136831.98,23050.8,0.0,17478.71,203238.78
06458_8_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,06458,Boys & Girls Clubs in Texas,Private Non Profit Organization,Private Nonprofit,13,4,,TRAVIS,17,0,17,2025-08-01T00:00:00.000,690,0,1378,622,0,1938.9,0.0,6738.42,709.08,0.0,904.9,10291.3
06480_6_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,06480,South Texas Juvenile Diabetes Association,Private Non Profit Organization,Private Nonprofit,1,5,,HIDALGO,2,0,2,2025-06-01T00:00:00.000,398,0,419,0,0,1118.38,0.0,2048.91,0.0,0.0,325.19,3492.48
06480_7_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,06480,South Texas Juvenile Diabetes Association,Private Non Profit Organization,Private Nonprofit,1,5,,HIDALGO,1,0,1,2025-07-01T00:00:00.000,199,0,249,0,0,559.19,0.0,1217.61,0.0,0.0,182.83,1959.63
06670_6_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,06670,"Healthy Kids and Teens of South Texas, Inc.",Private Non Profit Organization,Private Nonprofit,1,5,,HIDALGO,10,0,10,2025-06-01T00:00:00.000,7543,0,12225,639,0,21195.83,0.0,59780.25,728.46,0.0,8447.95,90152.49
06670_7_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,06670,"Healthy Kids and Teens of South Texas, Inc.",Private Non Profit Organization,Private Nonprofit,1,5,,HIDALGO,13,0,13,2025-07-01T00:00:00.000,11602,0,13790,0,0,32601.62,0.0,67433.1,0.0,0.0,10286.94,110321.66
06670_8_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,06670,"Healthy Kids and Teens of South Texas, Inc.",Private Non Profit Organization,Private Nonprofit,1,5,,HIDALGO,13,0,13,2025-08-01T00:00:00.000,3429,0,4529,0,0,9635.49,0.0,22146.81,0.0,0.0,3272.66,35054.96
06744_6_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,06744,Circle Of Giving Community Outreach,Private Non Profit Organization,Private Nonprofit,10,2,,DALLAS,8,0,8,2025-06-01T00:00:00.000,1180,0,3596,2416,0,3315.8,0.0,17584.44,2754.24,0.0,2508.64,26163.12
