programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,countydistrictcode,cecounty,sitecount,claimdate,breakfastmealsreimbursed,amsnackmealsreimbursed,lunchmealsreimbursed,pmsnackmealsreimbursed,suppermealsreimbursed,breakfastreimbursement,amsnackreimbursement,lunchreimbursement,pmsnackreimbursement,supperreimbursement,totalreimbursement
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00080,EDGEWOOD ISD-SAN ANTONIO,Educational Institution,Public,20,4,015-905,BEXAR,8,2019-06-01T00:00:00.000,8405,0,11611,0,0,17386.4500,0,39361.2900,0,0,56747.7400
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00080,EDGEWOOD ISD-SAN ANTONIO,Educational Institution,Public,20,4,015-905,BEXAR,4,2019-07-01T00:00:00.000,2500,0,2770,0,0,4788.6400,0,9695.0000,0,0,14483.6400
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00080,EDGEWOOD ISD-SAN ANTONIO,Educational Institution,Public,20,4,015-905,BEXAR,2,2019-08-01T00:00:00.000,368,0,445,0,0,725.0000,0,1557.5000,0,0,2282.5000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00082,SAN ANTONIO ISD,Educational Institution,Public,20,4,015-907,BEXAR,4,2019-05-01T00:00:00.000,12,0,52,0,0,25.6800,0,176.2800,0,0,201.9600
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00082,SAN ANTONIO ISD,Educational Institution,Public,20,4,015-907,BEXAR,52,2019-06-01T00:00:00.000,40405,0,56072,0,1223,86466.7000,0,190084.0800,0,4072.5900,280623.3700
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00082,SAN ANTONIO ISD,Educational Institution,Public,20,4,015-907,BEXAR,46,2019-07-01T00:00:00.000,23581,0,31808,0,565,51878.2000,0,111328.0000,0,1937.9500,165144.1500
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00082,SAN ANTONIO ISD,Educational Institution,Public,20,4,015-907,BEXAR,41,2019-08-01T00:00:00.000,4107,0,4982,0,0,9035.4000,0,17437.0000,0,0,26472.4000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00083,SOUTH SAN ANTONIO ISD,Educational Institution,Public,20,4,015-908,BEXAR,7,2019-06-01T00:00:00.000,7496,0,8730,0,0,16041.4400,0,29594.7000,0,0,45636.1400
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00084,SOMERSET ISD,Educational Institution,Public,20,4,015-909,BEXAR,2,2019-06-01T00:00:00.000,2048,0,3025,0,0,4382.7200,0,10254.7500,0,0,14637.4700
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00084,SOMERSET ISD,Educational Institution,Public,20,4,015-909,BEXAR,2,2019-07-01T00:00:00.000,69,0,81,0,0,151.8000,0,283.5000,0,0,435.3000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00084,SOMERSET ISD,Educational Institution,Public,20,4,015-909,BEXAR,1,2019-08-01T00:00:00.000,83,0,83,0,0,182.6000,0,290.5000,0,0,473.1000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00086,EAST CENTRAL ISD,Educational Institution,Public,20,4,015-911,BEXAR,3,2019-06-01T00:00:00.000,3511,0,4828,0,0,7513.5400,0,16366.9200,0,0,23880.4600
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00086,EAST CENTRAL ISD,Educational Institution,Public,20,4,015-911,BEXAR,3,2019-07-01T00:00:00.000,4061,0,4583,0,0,8934.2000,0,16040.5000,0,0,24974.7000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00086,EAST CENTRAL ISD,Educational Institution,Public,20,4,015-911,BEXAR,2,2019-08-01T00:00:00.000,108,0,118,0,0,237.6000,0,413.0000,0,0,650.6000
