odprecid,programyear,program,ceid,cename,typeofagency,typeoforg,esc,tdaregion,siteid,sitename,countydistrictcode,cecounty,sitecounty,claimdate,breakfastdays,breakfast,breakfasttotal,amsnackdays,amsnack,amsnacktotal,lunchdays,lunch,lunchtotal,pmsnackdays,pmsnack,pmsnacktotal,supperdays,supper,suppertotal,totalsnacks,totalmealssnacks,secondbreakfast,secondamsnack,secondlunch,secondpmsnack,secondsupper
03949-0028,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0028,Port Arthur Recreational Center,,JEFFERSON,JEFFERSON,2024-07-01T00:00:00.000,15,165,166,0,0,0,15,76,76,0,0,0,0,0,0,0,242,1,0,0,0,0
03949-0030,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0030,YMCA,,JEFFERSON,JEFFERSON,2024-06-01T00:00:00.000,18,1700,1700,0,0,0,18,1965,1965,0,0,0,0,0,0,0,3665,0,0,0,0,0
03949-0030,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0030,YMCA,,JEFFERSON,JEFFERSON,2024-07-01T00:00:00.000,20,1696,1798,0,0,0,20,1620,1734,0,0,0,0,0,0,0,3532,102,0,114,0,0
03949-0030,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0030,YMCA,,JEFFERSON,JEFFERSON,2024-08-01T00:00:00.000,6,444,462,0,0,0,6,435,450,0,0,0,0,0,0,0,912,18,0,15,0,0
03949-0031,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0031,Port Arthur Townhouses,,JEFFERSON,JEFFERSON,2024-06-01T00:00:00.000,5,1,1,0,0,0,5,15,15,0,0,0,0,0,0,0,16,0,0,0,0,0
03949-0031,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0031,Port Arthur Townhouses,,JEFFERSON,JEFFERSON,2024-07-01T00:00:00.000,17,105,105,0,0,0,17,91,91,0,0,0,0,0,0,0,196,0,0,0,0,0
03949-0031,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0031,Port Arthur Townhouses,,JEFFERSON,JEFFERSON,2024-08-01T00:00:00.000,5,46,46,0,0,0,5,53,53,0,0,0,0,0,0,0,99,0,0,0,0,0
03949-0032,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0032,Sam Houston Elementary,,JEFFERSON,JEFFERSON,2024-06-01T00:00:00.000,3,59,65,0,0,0,3,74,77,0,0,0,0,0,0,0,142,6,0,3,0,0
03949-0032,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0032,Sam Houston Elementary,,JEFFERSON,JEFFERSON,2024-07-01T00:00:00.000,6,91,110,0,0,0,6,89,102,0,0,0,0,0,0,0,212,19,0,13,0,0
03949-0033,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0033,DeQueen Elementary,,JEFFERSON,JEFFERSON,2024-06-01T00:00:00.000,19,522,573,0,0,0,19,514,544,0,0,0,0,0,0,0,1117,51,0,30,0,0
03949-0033,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0033,DeQueen Elementary,,JEFFERSON,JEFFERSON,2024-07-01T00:00:00.000,6,111,122,0,0,0,6,120,123,0,0,0,0,0,0,0,245,11,0,3,0,0
03949-0034,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0034,Tyrrell Elementary,,JEFFERSON,JEFFERSON,2024-06-01T00:00:00.000,19,553,576,0,0,0,19,402,457,0,0,0,0,0,0,0,1033,23,0,55,0,0
03949-0034,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0034,Tyrrell Elementary,,JEFFERSON,JEFFERSON,2024-07-01T00:00:00.000,6,144,150,0,0,0,6,138,143,0,0,0,0,0,0,0,293,6,0,5,0,0
03949-0038,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0038,Grace Church of the Nazarene,,JEFFERSON,JEFFERSON,2024-06-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03949-0038,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0038,Grace Church of the Nazarene,,JEFFERSON,JEFFERSON,2024-07-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03949-0038,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0038,Grace Church of the Nazarene,,JEFFERSON,JEFFERSON,2024-08-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03949-0039,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0039,Memorial High School,,JEFFERSON,JEFFERSON,2024-06-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
