cesiteid,programyear,program,ceid,cename,typeofagency,typeoforg,esc,tdaregion,siteid,sitename,cecounty,sitecounty,claimdate,breakfastdays,breakfast,secondbreakfast,breakfasttotal,amsnackdays,amsnack,secondamsnack,amsnacktotal,lunchdays,lunch,secondlunch,lunchtotal,pmsnackdays,pmsnack,secondpmsnack,pmsnacktotal,supperdays,supper,secondsupper,suppertotal,totalsnacks,totalmeals_snacks
00033-0103,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00033,ELGIN ISD,Educational Institution,School Food Authority,13,4,0103,NEIDIG ELEMENTARY,BASTROP,BASTROP,2018-07-01T00:00:00.000,2,97,0,97,0,0,0,0,2,175,0,175,0,0,0,0,0,0,0,0,0,272
00034-0002,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00034,SMITHVILLE ISD,Educational Institution,School Food Authority,13,4,0002,SMITHVILLE H S,BASTROP,BASTROP,2018-06-01T00:00:00.000,15,484,10,494,0,0,0,0,15,368,8,376,0,0,0,0,0,0,0,0,0,870
00034-0002,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00034,SMITHVILLE ISD,Educational Institution,School Food Authority,13,4,0002,SMITHVILLE H S,BASTROP,BASTROP,2018-07-01T00:00:00.000,8,133,3,136,0,0,0,0,0,0,0,0,0,0,0,0,6,126,3,129,0,265
00034-0002,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00034,SMITHVILLE ISD,Educational Institution,School Food Authority,13,4,0002,SMITHVILLE H S,BASTROP,BASTROP,2018-08-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,0,15,0,15
00034-0041,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00034,SMITHVILLE ISD,Educational Institution,School Food Authority,13,4,0041,SMITHVILLE J H,BASTROP,BASTROP,2018-06-01T00:00:00.000,9,263,6,269,0,0,0,0,12,360,8,368,0,0,0,0,0,0,0,0,0,637
00034-0101,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00034,SMITHVILLE ISD,Educational Institution,School Food Authority,13,4,0101,SMITHVILLE EL,BASTROP,BASTROP,2018-06-01T00:00:00.000,17,794,16,810,0,0,0,0,17,1026,21,1047,0,0,0,0,0,0,0,0,0,1857
00034-0101,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00034,SMITHVILLE ISD,Educational Institution,School Food Authority,13,4,0101,SMITHVILLE EL,BASTROP,BASTROP,2018-07-01T00:00:00.000,21,466,10,476,0,0,0,0,21,1152,23,1175,0,0,0,0,0,0,0,0,0,1651
00034-0101,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00034,SMITHVILLE ISD,Educational Institution,School Food Authority,13,4,0101,SMITHVILLE EL,BASTROP,BASTROP,2018-08-01T00:00:00.000,3,10,0,10,0,0,0,0,3,61,2,63,0,0,0,0,0,0,0,0,0,73
00034-0102,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00034,SMITHVILLE ISD,Educational Institution,School Food Authority,13,4,0102,BROWN EL,BASTROP,BASTROP,2018-06-01T00:00:00.000,0,0,0,0,0,0,0,0,1,17,0,17,0,0,0,0,0,0,0,0,0,17
00034-0102,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00034,SMITHVILLE ISD,Educational Institution,School Food Authority,13,4,0102,BROWN EL,BASTROP,BASTROP,2018-07-01T00:00:00.000,0,0,0,0,0,0,0,0,21,405,9,414,0,0,0,0,0,0,0,0,0,414
00034-0102,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00034,SMITHVILLE ISD,Educational Institution,School Food Authority,13,4,0102,BROWN EL,BASTROP,BASTROP,2018-08-01T00:00:00.000,0,0,0,0,0,0,0,0,3,55,2,57,0,0,0,0,0,0,0,0,0,57
00034-1201,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00034,SMITHVILLE ISD,Educational Institution,School Food Authority,13,4,1201,MLK PARK,BASTROP,BASTROP,2018-06-01T00:00:00.000,0,0,0,0,0,0,0,0,8,47,0,47,0,0,0,0,1,125,3,128,0,175
00034-1202,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00034,SMITHVILLE ISD,Educational Institution,School Food Authority,13,4,1202,BLUEBONNET CIRCLE,BASTROP,BASTROP,2018-06-01T00:00:00.000,0,0,0,0,0,0,0,0,15,245,5,250,0,0,0,0,0,0,0,0,0,250
00034-1202,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00034,SMITHVILLE ISD,Educational Institution,School Food Authority,13,4,1202,BLUEBONNET CIRCLE,BASTROP,BASTROP,2018-07-01T00:00:00.000,0,0,0,0,0,0,0,0,21,335,7,342,5,84,2,86,0,0,0,0,86,428
00034-1202,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00034,SMITHVILLE ISD,Educational Institution,School Food Authority,13,4,1202,BLUEBONNET CIRCLE,BASTROP,BASTROP,2018-08-01T00:00:00.000,0,0,0,0,0,0,0,0,4,60,2,62,3,55,2,57,0,0,0,0,57,119
00034-1204,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00034,SMITHVILLE ISD,Educational Institution,School Food Authority,13,4,1204,River Bend Park,BASTROP,BASTROP,2018-06-01T00:00:00.000,5,57,2,59,0,0,0,0,5,55,2,57,0,0,0,0,0,0,0,0,0,116
00034-1204,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00034,SMITHVILLE ISD,Educational Institution,School Food Authority,13,4,1204,River Bend Park,BASTROP,BASTROP,2018-07-01T00:00:00.000,0,0,0,0,0,0,0,0,1,150,3,153,1,45,1,46,0,0,0,0,46,199
00034-1205,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00034,SMITHVILLE ISD,Educational Institution,School Food Authority,13,4,1205,Neighbor Place @ Hart Chapel,BASTROP,BASTROP,2018-06-01T00:00:00.000,0,0,0,0,0,0,0,0,11,136,3,139,0,0,0,0,0,0,0,0,0,139
00034-1206,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00034,SMITHVILLE ISD,Educational Institution,School Food Authority,13,4,1206,Lake Thunderbird,BASTROP,BASTROP,2018-06-01T00:00:00.000,0,0,0,0,0,0,0,0,13,85,2,87,0,0,0,0,0,0,0,0,0,87
